path	bytes	ext	bucket	role	is_symlink	purpose_bucket
devtracks/_archive/medical-knowledge-design-competencies/README.md	1585	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/page-design/plan.md	3421	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/page-design/spec.md	2741	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pdf-ua-compliance/plan.md	2877	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pdf-ua-compliance/spec.md	2337	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-showcase/phase1.md	699	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-showcase/phase2.md	683	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-showcase/phase3.md	759	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-showcase/plan.md	1777	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-showcase/spec.md	1849	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/phase0.md	1285	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/phase1.md	1657	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/phase2.md	1631	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/phase3.md	1440	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/phase4.md	806	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/plan.md	2920	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/pinit-workflow/spec.md	4168	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/platform-boundaries/PHASE3-DEFERRED.md	1528	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/platform-boundaries/plan.md	4506	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/platform-boundaries/spec.md	1804	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/prepress-pdfx/decisions.md	2370	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/prepress-pdfx/plan.md	1781	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/prepress-pdfx/reports/image-dpi.md	672	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/prepress-pdfx/reports/preflight-print.md	1373	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/prepress-pdfx/spec.md	3361	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/skill-eval-baseline/plan.md	1479	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/skill-eval-baseline/reports/static-baseline-2026-07-19.md	1730	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/skill-eval-baseline/spec.md	2876	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/skill-reuse-pilot/plan.md	1794	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/skill-reuse-pilot/reports/reuse-report-2026-07-19.md	1843	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/skill-reuse-pilot/spec.md	3633	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/template-patterns/phase1.md	4351	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/template-patterns/phase2.md	3479	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/template-patterns/phase3.md	4960	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/template-patterns/phase4.md	611	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/template-patterns/plan.md	3365	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/template-patterns/spec.md	5090	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/tool-updates/plan.md	9510	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/tool-updates/spec.md	11541	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/phase0-decisions.md	6230	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/phase1-foundation.md	1547	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/phase2-skills-starter.md	2218	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/phase3-facets-cli.md	1408	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/phase4-mcp-publish.md	1658	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/plan.md	3580	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/typst-toolset/spec.md	8288	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_orchestration/board.md	4731	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_orchestration/boundaries-audit-w5.md	3689	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-inventory/CATALOG.md	118193	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-inventory/README.md	2108	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-inventory/all-files-with-size.tsv	50453	tsv	META-devtracks	other	False	Active/archived plans
devtracks/workspace-inventory/all-files.txt	45346	txt	META-devtracks	other	False	Active/archived plans
devtracks/workspace-inventory/bucket-summary.tsv	1952	tsv	META-devtracks	other	False	Active/archived plans
devtracks/workspace-inventory/file-index.tsv	115171	tsv	META-devtracks	other	False	Active/archived plans
devtracks/workspace-inventory/noise-candidates.tsv	480	tsv	META-devtracks	other	False	Active/archived plans
devtracks/workspace-split/HANDOFF.md	4838	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/README.md	3985	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/antigravity-peer-review.md	13928	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/decisions.md	1860	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/joint-recommendation.md	6711	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/phase1-hygiene-log.md	1692	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/phase1-hygiene.md	1632	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/phase1b-cli.md	6439	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/phase2-boundaries.md	5065	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/phase3-split.md	2582	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/phase4-skills-docs.md	3002	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/plan.md	31300	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/workspace-split/spec.md	3240	md	META-devtracks	markdown-doc	False	Active/archived plans
dist/.gitkeep	0	(none)	BUILD-dist	build-artifact	False	Generated PDFs/PNGs
dist/spikes/graphics/kl-script-system/recreate.pdf	87657	pdf	BUILD-dist	build-artifact	False	Generated PDFs/PNGs
dist/spikes/graphics/kl-wave6/grammar.pdf	91206	pdf	BUILD-dist	build-artifact	False	Generated PDFs/PNGs
dist/toolset/minimal-cli-smoke.pdf	43320	pdf	BUILD-dist	build-artifact	False	Generated PDFs/PNGs
dist/toolset/minimal.pdf	43320	pdf	BUILD-dist	build-artifact	False	Generated PDFs/PNGs
docs/BOOK-PRODUCTION-RUNBOOK.md	3175	md	META-docs-ux	markdown-doc	False	Consumer docs, runbook, workspace
docs/CONSUMER.md	5919	md	META-docs-ux	markdown-doc	False	Consumer docs, runbook, workspace
docs/KNOWLEDGE-MAP.md	8705	md	META-docs-ux	markdown-doc	False	Consumer docs, runbook, workspace
domains/README.md	1089	md	B-domains-root	markdown-doc	False	domains/ README
domains/content-maturity/MIGRATION-TO-C.md	1195	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/OWNERSHIP.md	1457	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/README.md	2924	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/claims-audit.md	984	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/clarity-scan-de.md	1133	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/developmental-edit.md	1820	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/freeze-gate.md	803	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/language-proof.md	143	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/learner-persona.md	1410	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/proof-gate.md	356	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/core/safety-flags.md	1516	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checklists/profiles/medical/DEFERRED.md	633	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/checkpoints.md	2060	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/README.md	575	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/clarity-flags-example.md	461	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/patch-F1.md	1266	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/review-after-patch-evaluate.md	1504	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/review-evaluate-only.md	2072	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/route-card-blocked.md	942	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/agentic-adaptations/route-card-freeze-ready.md	1020	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
domains/content-maturity/examples/demo-anaphylaxis-lite/README.md	646	md	C-content-maturity	markdown-doc	False	Content review/freeze/proof kit
